   Year,Activity,Activity Type,Mandate Authorising Activity (PSC/Assembly Decision),Main Objective,Target Beneficiary,Country,Region,Outcome, Activity Budget (USD) , Unit ,Directorate,Department,Link to Activity Report
2025,Deposit of demarcated boundary maps and treaties (Mali–Senegal) at AU Commission HQ in Addis Ababa.,Field Activity,AUBP; Niamey Convention; Agenda 2063; AfCFTA,Formalize boundary demarcation instruments and strengthen institutional dispute-resolution.,Boundary institutions; border communities,Ethiopia (Addis Ababa),Continental,Boundary instruments deposited; stability and cross-border cooperation supported.,Not specified,AUBP,CMD,PAPS,
2025,Assessment and preparatory workshop for 3rd Abidjan Border Forum (ABF) following decision to institutionalize ABF as bi-annual platform on border governance.,Meeting,AU Strategy on Better Integrated Border Governance; Niamey Convention,Prepare next ABF edition and strengthen continental coordination on border governance.,Member States; border commissions; partners,Côte d’Ivoire,Western Africa,Preparations advanced for ABF as continental platform.,Not specified,AUBP,CMD,PAPS,
2025,Technical Experts Workshop for EAC Regional Working Group on Border Governance (Dar es Salaam).,Meeting,AU Strategy on Better Integrated Border Governance,Support establishment of regional coordination mechanisms and implement regional action plans.,EAC Member States; border governance institutions,Tanzania (Dar es Salaam),Eastern Africa,Regional coordination advanced for border governance in EAC.,Not specified,AUBP,CMD,PAPS,
2025,2nd Meeting of Heads of Border Commissions of ECOWAS (Cotonou).,Meeting,AU Strategy on Better Integrated Border Governance,Strengthen ECOWAS coordination on border governance under regional action plans.,ECOWAS border commissions,Benin (Cotonou),Western Africa,Coordination mechanisms strengthened.,Not specified,AUBP,CMD,PAPS,
2025,Technical Meeting to establish IGAD Technical Committee on Border Governance (Mombasa).,Meeting,Niamey Convention; AU border governance strategy,Establish regional technical committee and advance harmonized boundary management; accelerate Niamey Convention ratification/domestication.,IGAD Member States; border governance institutions,Kenya (Mombasa),Eastern Africa,IGAD regional coordination groundwork laid; focus on Niamey Convention implementation.,Not specified,AUBP,CMD,PAPS,
2025,"Inaugural meeting of Ateker Leaders Council in Lodwar, Kenya (with EAC, IGAD; Kenya, Ethiopia, Uganda, South Sudan) to promote free movement, cross-border trade and community-centered development across Ateker borderlands.",Meeting,Niamey Convention; AU border governance strategy,Advance community-led platform for cross-border cooperation guided by Niamey Convention.,Cross-border communities; local leaders; border authorities,Kenya (Lodwar),Eastern Africa,Ateker Leaders Council established to support free movement and cooperation.,Not specified,AUBP,CMD,PAPS,
2025,"Technical write-shop in Nairobi to consolidate inputs and refine draft Common African Position on Climate Change, Peace and Security (CAP-CPS).",Workshop,Assembly Decision 815 (2022); AU Climate Strategy 2022–2032; PSC guidance,"Finalize coherent, implementable CAP-CPS framework under PSC guidance.",Member States; AU; partners (AGN),Kenya (Nairobi),Eastern Africa,Draft consolidated and refined; shared with stakeholders including AGN merging inputs.,Not specified,"Climate Change, Peace & Security Unit",CMD,PAPS,
2025,Member States Validation Workshop on draft CAP-CPS in Nairobi; agreed roadmap for further refinement prior to final validation and submission to PSC.,Workshop,PSC guidance; AU Climate Strategy 2022–2032,Validate and refine CAP-CPS with Member State ownership and alignment with national/regional contexts.,Member States; AU stakeholders,Kenya (Nairobi),Eastern Africa,Roadmap agreed; further refinement planned before final validation and submission.,Not specified,"Climate Change, Peace & Security Unit",CMD,PAPS,
2025,2nd Africa Climate Summit held in Addis Ababa; adopted Addis Ababa Climate Declaration highlighting climate–peace–security nexus.,Summit,AU Climate Strategy 2022–2032; CAP-CPS process,Elevate political commitment and link climate action to peace and security risks.,Member States; AU stakeholders,Ethiopia (Addis Ababa),Continental,Addis Ababa Climate Declaration adopted.,Not specified,"AUC / Climate Change, Peace & Security",CMD,PAPS,
2025,Peace Fund Crisis Reserve Facility (carryover USD 7m) disbursed: USD 1m for DRC mediation/facilitation (merged Luanda & Nairobi); USD 1m for LCBC/MNJTF stabilisation tools; USD 1m for South Sudan stabilisation; USD 1m for Mozambique counter-terrorism reconstruction machinery; USD 0.5m for Niger emergency food support; USD 0.5m for Mali early recovery/vocational training.,Financing,AU Peace Fund Crisis Reserve Facility; Executive Council decision EX.CL/Draft/Dec.1(XLVI),"Provide targeted CRF support for mediation, stabilisation and counter-terrorism-related recovery in priority contexts.",Beneficiary governments and affected communities; mediation processes,DRC; Lake Chad Basin; South Sudan; Mozambique; Niger; Mali,Multi-region,"CRF resources applied across mediation, stabilisation, reconstruction and humanitarian support interventions.","7,000,000",Peace Fund / CRF,CMD,PAPS,
2025,"PRC approved 37 Peace Fund Pilot Projects covering 15 priority areas (USD 5m) across Preventive Diplomacy & Mediation, Institutional Capacity, and AU PSOs windows.",Financing,AU Peace Fund (three windows) and PRC approval,Operationalize Peace Fund through complementary pilot projects across all five regions.,AU organs; Member States; RECs/RMs; PSOs,Continental,Continental,Peace Fund poised for full operationalization with pilot projects complementing regular budget and CRF.,"5,000,000",Peace Fund Secretariat,CMD,PAPS,
2025,"Executive Council agreed to increase Peace Fund CRF ceiling by USD 10m (from Peace Fund interest), raising 2025 allocation to USD 20m in support to AUSSOM.",Financing,Executive Council Decision EXCL/Dec.1322 (XLVII),Strengthen predictable financing support to AUSSOM via Peace Fund CRF.,AUSSOM; AU PSOs,Somalia,Eastern Africa,CRF ceiling increased; allocation raised to USD 20m for AUSSOM support.,"20,000,000",Peace Fund / CRF,CMD,PAPS,
2025,CEWS enhanced data collection/monitoring through automated event tracking; deepened collaboration with RECs/RMs and APRM; strengthened staff capacity-building.,Programmatic,Article 12 PSC Protocol; Continental Structural Conflict Prevention Framework (CSCPF),"Improve analytical, coordination and prevention functions of CEWS (Article 12 PSC Protocol; CSCPF).",AU PSC; Member States; RECs/RMs,Continental,Continental,Improved information exchange and joint analytical outputs.,Not specified,CEWS,CMD,PAPS,
2025,CEWS strategic upgrade: updated analytical frameworks/indicators; AI-assisted analysis; exploration of GIS-based risk mapping; joint analytical mechanisms with AUCTC and other AU organs.,System Upgrade,Article 12 PSC Protocol; CEWS reform agenda,Modernize CEWS tools and coordination mechanisms while maintaining core operations.,AU institutions; PSC; Member States,Continental,Continental,"Transition toward upgraded CEWS design, tools and inter-agency coordination.",Not specified,CEWS,CMD,PAPS,
2025,Support to Member States on structural prevention: rollout of Country Structural Vulnerability and Resilience Assessments (CSVRA) and Country Structural Vulnerability Mitigation Strategies (CSVMS); CSVRA validated in Malawi; CSVRA/CSVMS report launched in Zambia.,Technical Support,CSCPF; CEWS mandate,Strengthen national early warning systems and national peace infrastructures through structural vulnerability assessments and mitigation strategies.,Member States; national early warning/peace infrastructures,Malawi; Zambia,Southern/Eastern Africa,"Improved national capacities for risk monitoring, response options and embedding early warning in governance/policy.",Not specified,CEWS,CMD,PAPS,
2025,"PSC 1298th meeting received CEWS briefing on “Mapping Risks and Threats”; communiqué called for robust, coherent, fully functional CEWS.",PSC Briefing,PSC Protocol; CEWS mandate,Inform PSC deliberations and strengthen early action through CEWS risk mapping.,AU PSC; Member States; RECs/RMs,Ethiopia (Addis Ababa),Continental,PSC emphasized urgent need for fully functional CEWS and coordinated early action.,Not specified,CEWS,CMD,PAPS,
2025,"PSC 1303rd meeting underscored urgent need to revamp CEWS; deplored denialism toward early warning findings; requested mechanism to address; emphasized Integrated Preventive Diplomacy and Action framework linking CEWS with RECs/RMs, Panel of the Wise, APRM, AFRIPOL, AUCTC and CISSA.",PSC Decision,PSC Communiqué PSC/PR/COMM.1303 (2025),Strengthen early warning-to-early action and inter-agency collaboration; address denialism and institutionalize integrated preventive diplomacy.,AU PSC; Member States; AU organs and RECs/RMs,Continental,Continental,Clear direction for CEWS reform and integrated framework across AU prevention actors.,Not specified,CEWS,CMD,PAPS,
2025,AU NeTT4Peace delivered policy recommendation on “New Vision for Disarmament for the AU”.,Publication,AU disarmament agenda; NeTT4Peace mandate,Provide strategic insights to guide AU efforts in weapons control and non-proliferation.,AU policy organs; Member States; research community,Continental,Continental,Evidence-based recommendation produced to inform policy and decision-making.,Not specified,NeTT4Peace,CMD,PAPS,
2025,NeTT4Peace co-organized workshop on peace operations (with CCCPA) in preparation for Aswan Forum for Sustainable Peace and Development (Aswan).,Workshop,NeTT4Peace service delivery mandate,Support policy dialogue and capacity-building on peace operations; feed into Aswan Forum and AU High-Level Retreat.,AU stakeholders; partners; peace operations practitioners,Egypt (Aswan),Northern Africa,Policy dialogue supported; inputs to Aswan Forum/retreat processes strengthened.,Not specified,NeTT4Peace,CMD,PAPS,
2025,"NeTT4Peace supported a 3-Day Youth–Wise Learning Experience on Transitional Justice and Genocide in Johannesburg, South Africa.",Training,NeTT4Peace youth engagement mandate,Empower youth as agents for sustainable peace through intergenerational learning on transitional justice/genocide prevention.,Youth practitioners; Wise networks,South Africa (Johannesburg),Southern Africa,Youth capacity strengthened; intergenerational learning advanced.,Not specified,NeTT4Peace,CMD,PAPS,
2025,AU I‑RECKE Fourth Policy Session on Early Warning and Conflict Prevention held in Malabo (margins of 7th Mid-Year Coordination Meeting); endorsed Joint AU–RECs/RMs Resource Mobilisation Strategy.,Policy Session,CEWS/CSCPF; AU–RECs/RMs cooperation frameworks,Exchange lessons on structural conflict prevention; address early warning-to-early action bottlenecks; secure sustainable coordinated funding.,AUC; RECs/RMs; Member States; partners,Equatorial Guinea (Malabo),Central Africa,Resource mobilisation strategy endorsed; lessons shared on closing early warning-response gap and inclusive prevention.,Not specified,I‑RECKE / CEWS,CMD,PAPS,
2025,Hybrid Technical Assessment of ICGLR carried out by AUC with AU Liaison Office in Burundi to evaluate eligibility for recognition as AU Regional Mechanism (RM).,Assessment,PSC Protocol Article 16 (AU–RECs/RMs cooperation),Evaluate ICGLR institutional/operational/technical capacities and alignment with AU policy frameworks to inform AU recognition process.,ICGLR Secretariat; AU policy organs; Great Lakes stakeholders,Burundi (Bujumbura),Eastern/Central Africa,Assessment recommended considering formal request for AU recognition as regional cooperation partner.,Not specified,Partnerships / AULOB,CMD,PAPS,
2025,"UN–AU Experts Group meeting on AI, conflict analysis and early warning held in Addis Ababa with RECs/RMs and youth; produced draft roadmap for AI-enhanced CEWS and advanced analytical dashboard.",Meeting,Joint UN–AU Framework for Enhanced Partnership in Peace and Security,Build understanding and roadmap for applying AI to CEWS while ensuring data sovereignty and security.,AU; UN; RECs/RMs; youth; CEWS,Ethiopia (Addis Ababa),Continental,Draft AI roadmap developed (advanced dashboard and in-house data infrastructure).,Not specified,UN Partnership / CEWS,CMD,PAPS,
2025,"25th AU‑UN Joint Task Force on Peace and Security held on margins of UNGA; reviewed partnership and joint framework implementation (DRC, Somalia, South Sudan, Sudan, West Africa).",Meeting,Joint UN–AU Framework; UNSCR 2719 (2023),Maintain institutional dialogue and coordination on priority situations and mission financing.,AU and UN institutions; Member States in focus contexts,USA (New York),Global,Partnership reviewed; financing of AU-led PSOs central theme incl. UNSCR 2719 implementation.,Not specified,UN Partnership,CMD,PAPS,
2025,"9th Annual Conference in New York on AU–UN cooperation discussed UNSCR 2719 financing plus financing for development, climate action and WPS.",Conference,Joint UN–AU Framework; UNSCR 2719 (2023),Advance strategic partnership and financing dialogue for AU-led peace operations and cross-cutting agendas.,AU; UN; Member States; partners,USA (New York),Global,Integrated discussions reinforced financing and thematic linkages.,Not specified,UN Partnership,CMD,PAPS,
2025,10th Informal Joint Seminar and 19th Annual Joint Consultative Meeting between AU PSC and UN Security Council held in Addis Ababa; monthly coordination between AU PSC Chair and UNSC President continues.,Meeting,PSC–UNSC cooperation; UNSCR 2719 (2023),Enhance complementary action and information exchange; advocate for predictable financing for AU PSOs.,AU PSC; UNSC; Member States,Ethiopia (Addis Ababa),Global/Continental,Regularized AU–UNSC coordination deepened; practical means for complementary action advanced.,Not specified,UNSC Partnership,CMD,PAPS,
2025,"Conclusion of EU-APSA IV programme strengthening institutional capacity, early warning, inclusive peacebuilding (civil society, youth, child protection).",Programme,AU–EU partnership frameworks (APSA support),Support APSA capacity and inclusive approaches to peacebuilding and early warning.,AU; RECs/RMs; civil society; youth; children affected by conflict,Continental,Continental,Institutional capacities strengthened; inclusive peacebuilding supported.,Not specified,EU Partnership,CMD,PAPS,
2025,"Finalised successor EU Governance, Peace and Security (EU-GPS) Programme (2026–2029) supporting APSA and AGA in integrated manner (early warning, prevention, mediation, climate/security, human rights, governance/democracy).",Programme,AU–EU partnership frameworks,"Provide integrated support to governance, peace and security priorities with stronger human rights and citizen participation focus.",AU; Member States; RECs/RMs; citizens,Continental,Continental,New integrated programme framework ready for implementation 2026–2029.,Not specified,EU Partnership,CMD,PAPS,
2025,Early Response Mechanism (ERM III) scheduled to conclude 31 December 2025; AU–EU agreed transition of functions to support Peace Fund CRF with technical assistance.,Programme Transition,AU Peace Fund CRF; AU–EU financing cooperation,"Shift crisis response financing toward sustainable, internally driven model anchored in AU Peace Fund CRF.",AU; Member States; crisis response mechanisms,Continental,Continental,Transition plan aligns ERM functions with CRF support.,Not specified,EU Partnership / Peace Fund,CMD,PAPS,
2025,"New Joint Framework Arrangement (formerly Joint Financing Arrangement) finalised; EU moved from observer to signatory; coordination mechanism for planning, budgeting and joint reviews.",Agreement,JFA/Joint Framework Arrangement terms,Strengthen harmonised planning/budgeting and predictable partner support through coordinated reviews and reporting.,AU; Member States; international partners,Continental,Continental,Framework supports information sharing and results-oriented coordination.,Not specified,Financing Coordination (JFA),CMD,PAPS,
2025,"TICAD 9 Summit in Yokohama: Commissioner for PAPS delivered statement linking peace, security and development; highlighted AUSSOM, mediation and PCRD; called for partnership against disinformation and for sustainable financing.",Summit,TICAD framework; AU partnership strategy,Engage strategic partner (Japan) on peace/stability agenda and emerging threats; promote African-led solutions and financing.,AU; Japan; Member States; partners,Japan (Yokohama),Global,Partnership messages advanced; emphasis on preventive diplomacy and sustainable financing reinforced.,Not specified,Japan Partnership (TICAD),CMD,PAPS,
2025,PAPS advanced department-wide Knowledge Management Strategy; implemented interim measures to strengthen knowledge flows; planned enhancements to digital repository with TfP; produced PCRD Journal (2nd edition) and Common African Position on Peacebuilding Architecture Review; undertook lessons learned studies and Peace Dividends publication.,Institutional,APSA/AGA support to PSC decisions,"Institutionalise learning to inform policy formulation, planning and PSC decision-making/oversight across APSA/AGA.",PAPS directorates; AU PSC; Member States,Continental,Continental,Knowledge products and lessons learned strengthened evidence base for PSC deliberations and reforms.,Not specified,Knowledge Management,CMD,PAPS,
2021,AU PSC Field Visit to Mali,Meeting / Mission,Not specified,Assess political transition and demonstrate AU solidarity,Transition authorities; population,Mali,Western Africa,Enhanced consultations and AU solidarity,Not specified,PSC Secretariat,CMD,PAPS,Not specified
2021,Revitalisation / Establishment of Transition Support Mechanism,Programmatic,Not specified,Coordinate AU–UN–ECOWAS support to transitions,Transition authorities,Mali; Burkina Faso,Western Africa,Joint support to transition processes optimised,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2021,Official Missions of former AUC Chairperson,Meeting / Mission,Not specified,Engage transition authorities on implementation frameworks,Transition authorities,Mali; Guinea,Western Africa,Transition implementation engagement strengthened,Not specified, West African Regional Desk ,Office of the Chairperson / CMD,PAPS,Not specified
2022,3rd Mali Transition Support Group Meeting,Meeting,Not specified,"Mobilise political, technical and financial support",Transition authorities,Mali,Western Africa,Coordinated Member State support strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2022,Joint Strategic Assessment of Sahel Initiative,Programmatic,Not specified,"Strengthen governance, security and development responses",Sahel States,Sahel,Western Africa,Regional strategic responses strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2022,AU Commission Technical Consultative Mission,Meeting / Mission,Not specified,Assess return to constitutional order,Transition authorities,Burkina Faso,Western Africa,AU transition support modalities agreed,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2023,AU PSC Field Mission to Burkina Faso,Meeting / Mission,Not specified,Monitor and observe transition process,Transition authorities,Burkina Faso,Western Africa,Transition monitoring strengthened,Not specified,PSC Secretariat ,CMD,PAPS,https://papsrepository.africanunion.org/entities/publication/31ce43a8-2d56-41f4-a1f5-eab5e2b58b09
2023,Africa Facility to Support Inclusive Transitions (AFSIT),Programmatic,Not specified,Provide integrated support to inclusive transitions,Countries in transition / at UCG risk,Multiple,Western Africa,Inclusive transition frameworks strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2021,Support to Ministry of Reconciliation (Algiers Process),Programmatic,Not specified,Support peace agreement implementation,Government institutions,Mali,Western Africa,Peace agreement implementation strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2024,Peer Exchange Meeting for Transition Countries,Meeting,Not specified,Build governance and rule-of-law capacity,Government officials,Niger; Guinea; Togo,Western Africa,Stakeholder capacity enhanced,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2022,AUC Consultative Meeting with Transition Authorities,Meeting,Not specified,Support reconciliation and reform processes,Transition authorities,Burkina Faso,Western Africa,Reform pathways charted,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2022,Capacity-building for Constitutional Referendum,Programmatic,Not specified,Support constitutional referendum process,Political actors; CSOs,Mali,Western Africa,Referendum implementation strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2023,"Civil Society Capacity-building (Mopti, Gao, Timbuktu)",Programmatic,Not specified,Strengthen human rights monitoring,Civil society actors,Mali,Western Africa,Local HR monitoring capacity strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2022,SSR Strategy Awareness & AU SSR Policy Evaluation,Programmatic,Not specified,Support security sector reform,National stakeholders,Mali,Western Africa,SSR lessons learned and roadmap defined,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2023,Development of CENI Logistics Guide,Programmatic,Not specified,Improve election logistics and reporting,Electoral officials,Burkina Faso,Western Africa,Electoral data management improved,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2024,SALW Awareness Workshops,Programmatic,Not specified,Counter SALW proliferation,National and local actors,Mali,Western Africa,SALW coordination strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2023,Electoral Capacity-building for AIGE,Programmatic,Not specified,Strengthen election management capacity,Electoral management staff,Mali,Western Africa,Technical electoral capacity enhanced,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2024,"Youth, Peace and Security Capacity-building (MISAHEL)",Programmatic,Not specified,Promote youth inclusion in transitions,Youth,Mali; Burkina Faso; Niger,Western Africa,Youth participation enhanced,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2024,IDP Women Livelihood Support & School Rehabilitation,Programmatic,Not specified,Support early recovery and livelihoods,IDP women; communities,Mali; Burkina Faso,Western Africa,Socio-economic resilience enhanced,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2024,Solar-Powered Borehole Construction,Programmatic,Not specified,Improve access to clean water,Local communities,Mali; Burkina Faso,Western Africa,Community resilience strengthened,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2024,Issuance of Vital Records for IDP Children,Programmatic,Not specified,Strengthen legal identity of IDPs,IDP children,Mali; Burkina Faso; Niger,Western Africa,Civil registration improved,Not specified, West African Regional Desk ,CMD,PAPS,Not specified
2024,AU Crisis Reserve Fund Support,Programmatic,Not specified,Counter terrorism and violent extremism,Sahel States,Niger; Mali; Burkina Faso,Western Africa,Crisis response capacity strengthened,"2,000,000.00", West African Regional Desk ,CMD,PAPS,Not specified
2024,Deployment of AU Election Observation Missions (AUEOMs) to 13 Member States,Programmatic,ACDEG,Assess and document electoral processes; provide recommendations,Member States; EMBs; citizens,13 MS (named in report),Continental,Recommendations issued; improved synergies; strengthened AU election observation system; improved gender participation,Not specified,ACDEG,DEU,PAPS,Paras. 201–204; Table 10
2024,AUEOM to Gabon Constitutional Referendum (under suspension),Programmatic,ACDEG,Observe constitutional referendum as part of return roadmap,Transition authorities; citizens,Gabon,Central Africa,Observation findings and recommendations,Not specified,ACDEG,DEU,PAPS,Para. 201; Table 10
2024,Pre-election assessment missions,Meeting/Mission,ACDEG,Assess preparedness and provide technical guidance,EMBs; stakeholders,South Africa; Mozambique; Botswana; Ghana,Southern/West Africa,Targeted technical guidance and follow-up on AU recommendations,Not specified,ACDEG,DEU,PAPS,Para. 212
2024,Electoral support package to South Sudan (incl. 50 laptops + trainings),Programmatic,ACDEG,Strengthen electoral capacity across the electoral cycle,EMB; women & youth; stakeholders,South Sudan,Eastern Africa,Strategy developed; capacity strengthened; equipment procured,Not specified,ACDEG,DEU,PAPS,Para. 211
2024,3rd Specialized Training for AU Short-Term Election Observers (Rabat),Programmatic,ACDEG,Build a pool of trained short-term observers (women & youth),Potential AU observers (70 participants),Morocco,Continental,Strengthened knowledge and readiness for deployment; gender parity achieved,Not specified,ACDEG,DEU,PAPS,Paras. 213–214
2024,Training for African Women & Youth on elections and political participation (Nairobi),Programmatic,ACDEG,Strengthen women/youth participation and electoral engagement,Women & youth,Kenya,Continental,Enhanced capacity and participation,Not specified,ACDEG,DEU,PAPS,Para. 215
2024,Training for core group of technical experts (Gaborone),Programmatic,ACDEG,Build expert capacity to support electoral processes,Technical experts,Botswana,Continental,Strengthened technical support capacity,Not specified,ACDEG,DEU,PAPS,Para. 215
2024,Funding support for AUEOM deployments (using Niger voluntary contribution),Programmatic,ACDEG,Resource AUEOM deployments,AUC/PAPS election observation,Continental,Continental,Supported AUEOM deployment budget for 2024,"1,000,000.00",ACDEG / Assembly encouragement,DEU,PAPS,Para. 218
2024,Accra II Reflection Forum on UCGs (under PSC auspices),Programmatic,PSC auspices; AU UCG frameworks,Review Accra/Malabo Declarations; identify prevention/response innovations,AU MS; RECs/RMs; CSOs,Ghana,West Africa,Called for concrete actions; urged operationalisation of PSC Sanctions Sub-Committee; strengthened coordination,Not specified,PSC auspices; AU UCG frameworks,DEU,PAPS,Paras. 222–227
2024,Operationalisation of PSC Sub-Committee on Sanctions (UCG monitoring),Programmatic,PSC decision (as urged by Accra II),Monitor implementation of PSC decisions on UCGs,PSC/AU system,Continental,Continental,Sub-Committee operationalised,Not specified,PSC decision (as urged by Accra II),DEU,PAPS,Para. 223
2024,Expert study on root causes/drivers of UCGs,Programmatic,PSC 1061st Session mandate,Provide evidence base and recommendations; inform AU doctrine on UCGs,Member States,Continental,Continental,Study commissioned; expected to guide new doctrine after PSC endorsement,Not specified,PSC 1061st Session mandate,DEU,PAPS,Paras. 229–230
2024,ACDEG School Curricula Project – pilot launch,Programmatic,ACDEG,Mainstream ACDEG into school curricula; civic education,Youth/learners; education systems,Côte d’Ivoire; Guinea-Bissau,West Africa,Pilots launched; values and civic knowledge strengthened,Not specified,ACDEG,DEU,PAPS,Paras. 231–232
2024,AFSIT strategic support mission to Niger,Programmatic,2022 AU Extraordinary Assembly decision; AFSIT framework,Strengthen governance and protect development gains in transition,Transition authorities; stakeholders,Niger,West Africa/Sahel,Strategic transition support delivered,Not specified,2022 AU Extraordinary Assembly decision; AFSIT framework,AFSIT / Governance,PAPS (with UNDP),Para. 234
2024,AFSIT support to women parliamentarians & National Transition Council,Programmatic,2022 AU Extraordinary Assembly decision; AFSIT,Strengthen inclusivity and transition governance,Women parliamentarians; transition council,Mali,West Africa/Sahel,Transition support enhanced,Not specified,2022 AU Extraordinary Assembly decision; AFSIT,AFSIT / Governance,PAPS (with UNDP),Para. 234
2024,AFSIT citizen–transition council dialogue platforms,Programmatic,AFSIT,Facilitate inclusive dialogue,Citizens; transition council,Guinea,West Africa,Dialogue platforms facilitated,Not specified,AFSIT,AFSIT / Governance,PAPS (with UNDP),Para. 234
2024,AFSIT technical assistance to transition process,Programmatic,AFSIT,Support transition governance,Transition authorities,Chad,Central Africa,Technical assistance provided,Not specified,AFSIT,AFSIT / Governance,PAPS (with UNDP),Para. 234
2024,AFSIT assessment missions,Meeting/Mission,AFSIT,Assess transition trajectories and needs,Transition authorities,South Sudan; Burkina Faso,Eastern/West Africa,Assessments conducted,Not specified,AFSIT,AFSIT / Governance,PAPS (with UNDP),Para. 234
2024,AU solidarity mission of experts to monitor Gabon referendum,Meeting/Mission,AFSIT / AU transition support,Monitor referendum on new constitution,Transition authorities; citizens,Gabon,Central Africa,Expert monitoring mission deployed,Not specified,AFSIT / AU transition support,AFSIT / Governance,PAPS (with UNDP),Para. 234
2024,AFSIT regional dialogues (3) on cooperation in transitions,Programmatic,AFSIT,Reimagine cooperation; share best practices; strengthen state/non-state collaboration,AU/UN/RECs/CSOs,Regional,Continental,Shared understanding and collaboration strengthened,Not specified,AFSIT,AFSIT / Governance,PAPS (with UNDP),Para. 235
2024,Africa Transition Index (ATI) development support,Programmatic,AFSIT,Provide data-driven analysis of transitions,AU/Member States,Continental,Continental,ATI supported,Not specified,AFSIT,AFSIT / Analytics,PAPS (with UNDP),Para. 236
2024,Futures Forecast Study (Integrated Futures tool) for 5 transition countries,Programmatic,AFSIT,Forecast development trajectories/outcomes up to 2030/2043,Transition countries; AU,Burkina Faso; Guinea; Mali; Niger; Gabon,West/Central Africa,Futures study under development aligned to Agenda 2063/SDGs,Not specified,AFSIT,AFSIT / Analytics,PAPS (with UNDP),Para. 236
2024,Technical support for Transitional Justice processes,Programmatic,AU Transitional Justice Policy (AUTJP),Strengthen national TJ processes,Governments; TJ institutions,The Gambia; Ethiopia; South Sudan; DRC; CAR; Lesotho,Multi-region,TJ policies/needs assessments supported,Not specified,AU Transitional Justice Policy (AUTJP),TJ Unit,PAPS,Paras. 238–240
2024,Support to establish CTRH/CRA (South Sudan) & deploy MHPSS expert (1 year),Programmatic,AUTJP Roadmap 2021–2024,Support survivor/mental health unit and TJ institutionalisation,Govt; victims/survivors,South Sudan,Eastern Africa,Legal assent; MHPSS expert deployed; TJ capacity strengthened,Not specified,AUTJP Roadmap 2021–2024,TJ Unit,PAPS,Para. 239
2024,Launch of TJ interventions to popularise AUTJP (Maseru),Programmatic,AUTJP,Promote TJ interventions and awareness,Govt; civil society,Lesotho,Southern Africa,Official launch conducted,Not specified,AUTJP,TJ Unit,PAPS,Para. 240
2024,Consultations with IGAD MS on TJ & Human Rights mechanism,Meeting,AUTJP / AU–IGAD cooperation,Develop IGAD TJ & HR Protocol mechanism,IGAD Member States,Not specified,Eastern Africa,IGAD decision to design TJ & HR Protocol mechanism,Not specified,AUTJP / AU–IGAD cooperation,TJ/Human Rights,PAPS,Para. 245
2024,8th Transitional Justice Forum (Port Louis),Meeting,AUTJP / AU Theme 2024,Promote education as tool for peace/TJ; highlight MHPSS,AU MS; TJ stakeholders,Mauritius,Continental,Recommendations including prioritising MHPSS in TJ,Not specified,AUTJP / AU Theme 2024,TJ Unit,PAPS,Paras. 246–247
2024,4th AU–EU Seminar on Transitional Justice,Meeting,AU–EU partnership,Share best practices incl. MHPSS integration,AU/EU experts,Not specified,Continental,Lessons and best practices shared; focus on cultural relevance,Not specified,AU–EU partnership,TJ Unit,PAPS,Para. 248
2024,30th Commemoration of Genocide Against the Tutsi (Chairperson participation),Meeting/Mission,AU values / atrocity prevention,Solidarity; renew commitment against hate speech & genocide ideology,Survivors; Member States,Rwanda,Eastern Africa,High-level participation and commitments,Not specified,AU values / atrocity prevention,Human Rights / Prevention,PAPS,Para. 249
2024,Appointment of AU Special Envoy on Prevention of Genocide & Mass Atrocities,Programmatic,AU atrocity prevention strategy,Accelerate implementation of AU strategy on atrocity prevention,AU MS; affected populations,Continental,Continental,Special Envoy appointed (Adama Dieng),Not specified,AU atrocity prevention strategy,Human Rights / Prevention,PAPS,Para. 250
2024,"Special Envoy engagements (DRC, Rwanda, South Sudan)",Meeting/Mission,Envoy mandate (atrocity prevention),"Address HR violations, impunity, hate speech; promote dialogue; prevent conflict","Govts, CSOs, IDPs",DRC; Rwanda; South Sudan,Multi-region,Consultations conducted; lessons identified,Not specified,Envoy mandate (atrocity prevention),Human Rights / Prevention,PAPS,Paras. 251–252
